--------------------------------------------------------------------------------
.//Study_2508_Coffee//data//Holm_Kol_Gemahlen_A.csv
--------------------------------------------------------------------------------
Bin     | E_range (eV)      | El. | Line  | Energy (eV) | Int.  
Bin 188 | 1870.0 - 1910.0   | ---------------------------------
                            | Kr  | Lg2   | 1906.9      | 0.074 
                            | Kr  | Lg3   | 1906.9      | 0.09  
                            | Sr  | Lb1   | 1871.0      | 0.952 
                            | Sr  | Lb6   | 1901.1      | 0.002 
                            | Zr  | Ln    | 1876.7      | 0.045 
                            | Nb  | Ll    | 1904.4      | 0.039 
                            | Hf  | Mg    | 1895.5      | 1.0   
                            | Re  | Mb    | 1906.1      | 0.997 
                            | Os  | Ma    | 1906.6      | 1.0   
                            | Bi  | Mz    | 1882.8      | 0.003 
Bin 202 | 2010.0 - 2050.0   | ---------------------------------
                            | P   | Ka1   | 2010.5      | 0.59  
                            | Rb  | Lg2   | 2048.7      | 0.074 
                            | Rb  | Lg3   | 2049.7      | 0.091 
                            | Y   | Lb6   | 2036.2      | 0.002 
                            | Zr  | La2   | 2041.9      | 0.096 
                            | Zr  | La1   | 2044.2      | 0.862 
                            | Mo  | Ll    | 2013.7      | 0.038 
                            | W   | Mg    | 2037.5      | 1.0   
                            | Pt  | Ma    | 2047.5      | 1.0   
                            | At  | Mz    | 2023.0      | 0.003 
Bin 216 | 2150.0 - 2190.0   | ---------------------------------
                            | Zr  | Lb4   | 2188.5      | 0.344 
                            | Zr  | Lb6   | 2172.4      | 0.002 
                            | Nb  | La2   | 2166.0      | 0.096 
                            | Nb  | La1   | 2168.7      | 0.863 
                            | Os  | Mg    | 2178.5      | 1.0   
                            | Fr  | Mz    | 2156.0      | 0.003 
                            | Ra  | Mz    | 2190.0      | 0.003 
Bin 218 | 2170.0 - 2210.0   | ---------------------------------
                            | Sr  | Lg2   | 2194.4      | 0.075 
                            | Sr  | Lg3   | 2195.9      | 0.091 
                            | Zr  | Lb4   | 2188.5      | 0.344 
                            | Zr  | Lb3   | 2202.2      | 0.487 
                            | Zr  | Lb6   | 2172.4      | 0.002 
                            | Os  | Mg    | 2178.5      | 1.0   
                            | Au  | Mb    | 2203.4      | 0.997 
                            | Hg  | Ma    | 2191.0      | 1.0   
                            | Ra  | Mz    | 2190.0      | 0.003 
Bin 231 | 2300.0 - 2340.0   | ---------------------------------
                            | S   | Ka2   | 2308.4      | 0.296 
                            | S   | Ka1   | 2309.5      | 0.589 
                            | Nb  | Lb4   | 2321.9      | 0.343 
                            | Nb  | Lb3   | 2337.4      | 0.486 
                            | Nb  | Lb6   | 2314.6      | 0.002 
                            | Pt  | Mg    | 2330.4      | 1.0   
                            | Th  | Mz    | 2323.0      | 0.003 
Bin 241 | 2400.0 - 2440.0   | ---------------------------------
                            | Tc  | La2   | 2419.4      | 0.096 
                            | Tc  | La1   | 2423.1      | 0.863 
                            | Au  | Mg    | 2407.9      | 1.0   
                            | Bi  | Ma    | 2417.7      | 1.0   
Bin 245 | 2440.0 - 2480.0   | ---------------------------------
                            | S   | Kb3   | 2464.0      | 0.039 
                            | S   | Kb1   | 2465.0      | 0.076 
                            | Mo  | Lb4   | 2454.4      | 0.342 
                            | Mo  | Lb3   | 2472.0      | 0.486 
                            | Mo  | Lb6   | 2456.8      | 0.003 
                            | Pb  | Mb    | 2444.3      | 0.997 
                            | U   | Mz    | 2457.0      | 0.003 
Bin 249 | 2480.0 - 2520.0   | ---------------------------------
                            | Zr  | Lg2   | 2503.5      | 0.076 
                            | Zr  | Lg3   | 2504.9      | 0.093 
                            | Rh  | Ln    | 2517.9      | 0.035 
                            | Pd  | Ll    | 2501.4      | 0.033 
                            | Hg  | Mg    | 2488.2      | 1.0   
                            | Po  | Ma    | 2499.0      | 1.0   
Bin 258 | 2570.0 - 2610.0   | ---------------------------------
                            | Tc  | Lb4   | 2595.4      | 0.337 
                            | Tc  | Lb6   | 2607.5      | 0.003 
                            | Tl  | Mg    | 2572.0      | 1.0   
                            | At  | Ma    | 2577.0      | 1.0   
                            | Pu  | Mz    | 2590.0      | 0.003 
Bin 260 | 2590.0 - 2630.0   | ---------------------------------
                            | Cl  | Ka2   | 2620.0      | 0.295 
                            | Cl  | Ka1   | 2622.0      | 0.589 
                            | Tc  | Lb4   | 2595.4      | 0.337 
                            | Tc  | Lb3   | 2625.3      | 0.488 
                            | Tc  | Lb6   | 2607.5      | 0.003 
                            | Po  | Mb    | 2614.0      | 0.997 
                            | Pu  | Mz    | 2590.0      | 0.003 
Bin 264 | 2630.0 - 2670.0   | ---------------------------------
                            | Nb  | Lg2   | 2665.4      | 0.077 
                            | Nb  | Lg3   | 2667.2      | 0.094 
                            | Pd  | Ln    | 2658.4      | 0.033 
                            | Ag  | Ll    | 2632.0      | 0.032 
                            | Pb  | Mg    | 2653.8      | 1.0   
                            | Rn  | Ma    | 2654.0      | 1.0   
                            | Am  | Mz    | 2658.0      | 0.003 
Bin 266 | 2650.0 - 2690.0   | ---------------------------------
                            | Nb  | Lg2   | 2665.4      | 0.077 
                            | Nb  | Lg3   | 2667.2      | 0.094 
                            | Ru  | Lb1   | 2682.8      | 0.961 
                            | Pd  | Ln    | 2658.4      | 0.033 
                            | Pb  | Mg    | 2653.8      | 1.0   
                            | Rn  | Ma    | 2654.0      | 1.0   
                            | Am  | Mz    | 2658.0      | 0.003 
Bin 276 | 2750.0 - 2790.0   | ---------------------------------
                            | Ru  | Lb3   | 2762.5      | 0.49  
                            | Ru  | Lb6   | 2763.0      | 0.003 
                            | Cd  | Ll    | 2766.0      | 0.032 
                            | Rn  | Mb    | 2784.0      | 0.997 
Bin 282 | 2810.0 - 2850.0   | ---------------------------------
                            | Cl  | Kb3   | 2812.0      | 0.04  
                            | Cl  | Kb1   | 2812.0      | 0.076 
                            | Mo  | Lg2   | 2828.4      | 0.077 
                            | Mo  | Lg3   | 2830.5      | 0.095 
                            | Rh  | Lb1   | 2834.1      | 0.891 
                            | Pd  | La2   | 2832.5      | 0.087 
                            | Pd  | La1   | 2837.8      | 0.784 
                            | Po  | Mg    | 2829.0      | 1.0   
Bin 295 | 2940.0 - 2980.0   | ---------------------------------
                            | Ar  | Ka2   | 2955.3      | 0.295 
                            | Ar  | Ka1   | 2957.5      | 0.588 
                            | Ag  | La2   | 2977.0      | 0.086 
                            | Cd  | Ln    | 2955.0      | 0.031 
                            | Ra  | Mb    | 2949.0      | 0.997 
Bin 300 | 2990.0 - 3030.0   | ---------------------------------
                            | Tc  | Lg2   | 3000.7      | 0.078 
                            | Tc  | Lg3   | 3003.1      | 0.097 
                            | Rh  | Lb2,15| 3002.0      | 0.082 
                            | Rn  | Mg    | 2997.0      | 1.0   
Bin 304 | 3030.0 - 3070.0   | ---------------------------------
                            | Pd  | Lb4   | 3044.1      | 0.323 
                            | Sn  | Ll    | 3044.3      | 0.031 
                            | Ac  | Mb    | 3051.0      | 0.997 
Bin 332 | 3310.0 - 3350.0   | ---------------------------------
                            | K   | Ka2   | 3311.1      | 0.295 
                            | K   | Ka1   | 3313.8      | 0.587 
                            | Pd  | Lg1   | 3328.0      | 0.081 
                            | Ag  | Lb2,15| 3347.0      | 0.102 
                            | Cd  | Lb1   | 3315.1      | 0.876 
                            | Te  | Ll    | 3335.0      | 0.03  
                            | U   | Mb    | 3339.8      | 0.997 
                            | Pu  | Ma    | 3339.0      | 1.0   
Bin 346 | 3450.0 - 3490.0   | ---------------------------------
                            | In  | Lb1   | 3486.6      | 0.872 
                            | I   | Ll    | 3485.0      | 0.03  
                            | Pa  | Mg    | 3466.0      | 1.0   
Bin 359 | 3580.0 - 3620.0   | ---------------------------------
                            | K   | Kb3   | 3590.1      | 0.04  
                            | K   | Kb1   | 3590.1      | 0.078 
                            | Ca  | Ka3   | 3600.1      | 0.0   
                            | In  | Lb6   | 3607.1      | 0.004 
                            | Sb  | La2   | 3594.5      | 0.084 
                            | Sb  | La1   | 3603.8      | 0.751 
                            | Te  | Ln    | 3606.0      | 0.027 
                            | Bk  | Ma    | 3616.0      | 1.0   
Bin 367 | 3660.0 - 3700.0   | ---------------------------------
                            | Ca  | Ka2   | 3688.8      | 0.294 
                            | Ca  | Ka1   | 3692.3      | 0.586 
                            | Sn  | Lb1   | 3662.8      | 0.869 
                            | Np  | Mg    | 3664.0      | 1.0   
Bin 398 | 3970.0 - 4010.0   | ---------------------------------
                            | Sc  | Ka3   | 3994.0      | 0.0   
                            | Sb  | Lb6   | 3978.8      | 0.004 
                            | Cm  | Mg    | 3976.0      | 1.0   
Bin 401 | 4000.0 - 4040.0   | ---------------------------------
                            | Ca  | Kb3   | 4013.1      | 0.041 
                            | Ca  | Kb1   | 4013.1      | 0.078 
                            | Te  | Lb1   | 4028.6      | 0.862 
Bin 416 | 4150.0 - 4190.0   | ---------------------------------
                            | In  | Lg2   | 4164.5      | 0.084 
                            | In  | Lg3   | 4164.5      | 0.107 
                            | Te  | Lb6   | 4171.6      | 0.005 
                            | Cf  | Mg    | 4186.0      | 1.0   
Bin 428 | 4270.0 - 4310.0   | ---------------------------------
                            | Te  | Lb2,15| 4299.1      | 0.136 
                            | Cs  | La2   | 4271.5      | 0.082 
                            | Cs  | La1   | 4285.4      | 0.737 
                            | Ce  | Ll    | 4287.0      | 0.029 
Bin 442 | 4410.0 - 4450.0   | ---------------------------------
                            | Xe  | Lb1   | 4418.0      | 0.857 
Bin 458 | 4570.0 - 4610.0   | ---------------------------------
                            | Sb  | Lg2   | 4602.4      | 0.086 
                            | Sb  | Lg3   | 4602.4      | 0.11  
                            | Te  | Lg1   | 4570.1      | 0.111 
                            | Xe  | Lb6   | 4572.8      | 0.005 
Bin 467 | 4660.0 - 4700.0   | ---------------------------------
Bin 484 | 4830.0 - 4870.0   | ---------------------------------
                            | V   | Ka3   | 4838.3      | 0.0   
                            | Te  | Lg2   | 4835.7      | 0.087 
                            | Te  | Lg3   | 4835.7      | 0.112 
                            | Ba  | Lb4   | 4852.0      | 0.295 
                            | Ce  | La1   | 4839.2      | 0.731 
Bin 486 | 4850.0 - 4890.0   | ---------------------------------
                            | Ba  | Lb4   | 4852.0      | 0.295 
Bin 491 | 4900.0 - 4940.0   | ---------------------------------
                            | Ti  | Kb3   | 4933.4      | 0.041 
                            | Ti  | Kb1   | 4933.4      | 0.08  
                            | Cs  | Lb2,15| 4932.2      | 0.147 
                            | Ba  | Lb3   | 4926.0      | 0.497 
                            | Pr  | Ln    | 4929.0      | 0.022 
Bin 511 | 5100.0 - 5140.0   | ---------------------------------
                            | La  | Lb3   | 5138.0      | 0.496 
Bin 525 | 5240.0 - 5280.0   | ---------------------------------
                            | Cs  | Lg1   | 5279.2      | 0.122 
                            | Ce  | Lb4   | 5274.0      | 0.293 
                            | Ce  | Lb1   | 5261.6      | 0.848 
Bin 530 | 5290.0 - 5330.0   | ---------------------------------
                            | Cr  | Ka3   | 5293.0      | 0.0   
                            | Xe  | Lg2   | 5306.3      | 0.088 
                            | Xe  | Lg3   | 5307.5      | 0.115 
Bin 537 | 5360.0 - 5400.0   | ---------------------------------
                            | La  | Lb2,15| 5377.7      | 0.151 
                            | Ce  | Lb3   | 5361.0      | 0.495 
