--------------------------------------------------------------------------------
.//Study_2508_Coffee//data//Holm_Kol_Bohne.csv
--------------------------------------------------------------------------------
Bin     | E_range (eV)      | El. | Line  | Energy (eV) | Int.  
                            | Hg  | Mz    | 1704.8      | 0.003 
Bin 174 | 1730.0 - 1770.0   | ---------------------------------
                            | Si  | Ka2   | 1739.2      | 0.297 
                            | Si  | Ka1   | 1739.8      | 0.591 
                            | Rb  | Lb1   | 1751.0      | 0.95  
                            | Y   | Ln    | 1764.0      | 0.046 
                            | Yb  | Mg    | 1767.6      | 1.0   
                            | Ta  | Mb    | 1769.5      | 0.997 
                            | Tl  | Mz    | 1764.5      | 0.003 
Bin 176 | 1750.0 - 1790.0   | ---------------------------------
                            | Br  | Lg2   | 1779.0      | 0.073 
                            | Br  | Lg3   | 1779.0      | 0.089 
                            | Rb  | Lb1   | 1751.0      | 0.95  
                            | Rb  | Lb6   | 1773.5      | 0.001 
                            | Y   | Ln    | 1764.0      | 0.046 
                            | Yb  | Mg    | 1767.6      | 1.0   
                            | Ta  | Mb    | 1769.5      | 0.997 
                            | W   | Ma    | 1775.4      | 1.0   
                            | Tl  | Mz    | 1764.5      | 0.003 
Bin 179 | 1780.0 - 1820.0   | ---------------------------------
                            | Rb  | Lb4   | 1816.3      | 0.346 
                            | Sr  | La2   | 1804.0      | 0.095 
                            | Sr  | La1   | 1805.8      | 0.862 
                            | Zr  | Ll    | 1792.7      | 0.04  
Bin 188 | 1870.0 - 1910.0   | ---------------------------------
                            | Kr  | Lg2   | 1906.9      | 0.074 
                            | Kr  | Lg3   | 1906.9      | 0.09  
                            | Sr  | Lb1   | 1871.0      | 0.952 
                            | Sr  | Lb6   | 1901.1      | 0.002 
                            | Zr  | Ln    | 1876.7      | 0.045 
                            | Nb  | Ll    | 1904.4      | 0.039 
                            | Hf  | Mg    | 1895.5      | 1.0   
                            | Re  | Mb    | 1906.1      | 0.997 
                            | Os  | Ma    | 1906.6      | 1.0   
                            | Bi  | Mz    | 1882.8      | 0.003 
Bin 191 | 1900.0 - 1940.0   | ---------------------------------
                            | Kr  | Lg2   | 1906.9      | 0.074 
                            | Kr  | Lg3   | 1906.9      | 0.09  
                            | Sr  | Lb4   | 1935.7      | 0.345 
                            | Sr  | Lb6   | 1901.1      | 0.002 
                            | Y   | La2   | 1922.3      | 0.095 
                            | Y   | La1   | 1924.2      | 0.862 
                            | Nb  | Ll    | 1904.4      | 0.039 
                            | Re  | Mb    | 1906.1      | 0.997 
                            | Os  | Ma    | 1906.6      | 1.0   
Bin 200 | 1990.0 - 2030.0   | ---------------------------------
                            | P   | Ka2   | 2009.5      | 0.296 
                            | P   | Ka1   | 2010.5      | 0.59  
                            | Y   | Lb1   | 1998.3      | 0.954 
                            | Nb  | Ln    | 1998.4      | 0.043 
                            | Mo  | Ll    | 2013.7      | 0.038 
                            | At  | Mz    | 2023.0      | 0.003 
Bin 203 | 2020.0 - 2060.0   | ---------------------------------
                            | Rb  | Lg2   | 2048.7      | 0.074 
                            | Rb  | Lg3   | 2049.7      | 0.091 
                            | Y   | Lb6   | 2036.2      | 0.002 
                            | Zr  | La2   | 2041.9      | 0.096 
                            | Zr  | La1   | 2044.2      | 0.862 
                            | W   | Mg    | 2037.5      | 1.0   
                            | Ir  | Mb    | 2052.2      | 0.997 
                            | Pt  | Ma    | 2047.5      | 1.0   
                            | At  | Mz    | 2023.0      | 0.003 
Bin 214 | 2130.0 - 2170.0   | ---------------------------------
                            | P   | Kb3   | 2138.5      | 0.039 
                            | P   | Kb1   | 2139.5      | 0.075 
                            | Nb  | La2   | 2166.0      | 0.096 
                            | Nb  | La1   | 2168.7      | 0.863 
                            | Tc  | Ll    | 2133.0      | 0.038 
                            | Fr  | Mz    | 2156.0      | 0.003 
Bin 218 | 2170.0 - 2210.0   | ---------------------------------
                            | Sr  | Lg2   | 2194.4      | 0.075 
                            | Sr  | Lg3   | 2195.9      | 0.091 
                            | Zr  | Lb4   | 2188.5      | 0.344 
                            | Zr  | Lb3   | 2202.2      | 0.487 
                            | Zr  | Lb6   | 2172.4      | 0.002 
                            | Os  | Mg    | 2178.5      | 1.0   
                            | Au  | Mb    | 2203.4      | 0.997 
                            | Hg  | Ma    | 2191.0      | 1.0   
                            | Ra  | Mz    | 2190.0      | 0.003 
Bin 223 | 2220.0 - 2260.0   | ---------------------------------
                            | S   | Ka3   | 2241.1      | 0.0   
                            | Nb  | Lb1   | 2260.0      | 0.957 
                            | Tc  | Ln    | 2249.0      | 0.04  
                            | Ru  | Ll    | 2251.9      | 0.037 
                            | Ir  | Mg    | 2254.7      | 1.0   
Bin 230 | 2290.0 - 2330.0   | ---------------------------------
                            | S   | Ka2   | 2308.4      | 0.296 
                            | S   | Ka1   | 2309.5      | 0.589 
                            | Nb  | Lb4   | 2321.9      | 0.343 
                            | Nb  | Lb6   | 2314.6      | 0.002 
                            | Mo  | La1   | 2292.1      | 0.863 
                            | Ac  | Mz    | 2290.0      | 0.003 
                            | Th  | Mz    | 2323.0      | 0.003 
Bin 241 | 2400.0 - 2440.0   | ---------------------------------
                            | Tc  | La2   | 2419.4      | 0.096 
                            | Tc  | La1   | 2423.1      | 0.863 
                            | Au  | Mg    | 2407.9      | 1.0   
                            | Bi  | Ma    | 2417.7      | 1.0   
Bin 245 | 2440.0 - 2480.0   | ---------------------------------
                            | S   | Kb3   | 2464.0      | 0.039 
                            | S   | Kb1   | 2465.0      | 0.076 
                            | Mo  | Lb4   | 2454.4      | 0.342 
                            | Mo  | Lb3   | 2472.0      | 0.486 
