QuickDAQ Data
01.01.0001 00:00:00
Notes:		
Sample Rate:	49,99186	 Hz	
Measurement Type	Time Waveform	Time Waveform	
Channel Name	DT9824(00).Ain 0	DT9824(00).Ain 1	
X Axis Units	Samples	Samples	
Y Axis Units	V	V	
Seconds	Real	Real	
 3,1805175815	 1,1570084095	 1,4452743530	
 3,2005208367	 1,1556875706	 1,4452743530	
 3,2205240919	 1,1579239368	 1,4452612400	
 3,2405273472	 1,1563885212	 1,4452660084	
 3,2605306024	 1,1550509930	 1,4452779293	
 3,2805338576	 1,1528170109	 1,4452755451	
 3,3005371129	 1,1500048637	 1,4452719688	
 3,3205403681	 1,1487424374	 1,4452755451	
 3,3405436233	 1,1494660378	 1,4452719688	
 3,3605468785	 1,1514365673	 1,4452540874	
 3,3805501338	 1,1485970020	 1,4452552795	
 3,4005533890	 1,1456191540	 1,4452660084	
 3,4205566442	 1,1491942406	 1,4452648163	
 3,4405598995	 1,1479496956	 1,4452576637	
 3,4605631547	 1,1436986923	 1,4452540874	
 3,4805664099	 1,1426424980	 1,4452540874	
 3,5005696652	 1,1393594742	 1,4452576637	
 3,5205729204	 1,1400604248	 1,4452648163	
 3,5405761756	 1,1453342438	 1,4452672005	
 3,5605794308	 1,1460518837	 1,4452695847	
 3,5805826861	 1,1424183846	 1,4452600479	
 3,6005859413	 1,1411428452	 1,4452600479	
 3,6205891965	 1,1400222778	 1,4452588558	
 3,6405924518	 1,1396765709	 1,4452528954	
 3,6605957070	 1,1369061470	 1,4452505112	
 3,6805989622	 1,1332917213	 1,4452528954	
 3,7006022174	 1,1306536198	 1,4452612400	
 3,7206054727	 1,1315715313	 1,4452636242	
 3,7406087279	 1,1309337616	 1,4452540874	
 3,7606119831	 1,1259138584	 1,4452493191	
 3,7806152384	 1,1293601990	 1,4452588558	
 3,8006184936	 1,1318182945	 1,4452660084	
 3,8206217488	 1,1270880699	 1,4452528954	
 3,8406250041	 1,1218488216	 1,4452445507	
 3,8606282593	 1,1210262775	 1,4452588558	
 3,8806315145	 1,1258733273	 1,4452612400	
 3,9006347697	 1,1283779144	 1,4452433586	
 3,9206380250	 1,1251103878	 1,4452409744	
 3,9406412802	 1,1203885078	 1,4452493191	
 3,9606445354	 1,1183011532	 1,4452517033	
 3,9806477907	 1,1175405979	 1,4452481270	
