DT9824(00).Ain 0(X)	DT9824(00).Ain 0(Y)	DT9824(00).Ain 1(X)	DT9824(00).Ain 1(Y)
307	1,29424214363098	307	1,88859939575195
308	1,21242761611938	308	1,89047694206238
309	1,13054275512695	309	1,89265608787537
310	1,06239557266235	310	1,894690990448
311	0,992414951324463	311	1,89670920372009
312	0,923912525177002	312	1,89878344535828
313	0,856082439422607	313	1,90064191818237
314	0,788098573684692	314	1,90259099006653
315	0,725520849227905	315	1,90436363220215
316	0,666075944900513	316	1,90597653388977
317	0,606327056884766	317	1,90791964530945
318	0,553107261657715	318	1,90994501113892
319	0,501562356948853	319	1,91181182861328
320	0,449624061584473	320	1,91373944282532
321	0,401870012283325	321	1,91569209098816
322	0,357160568237305	322	1,91784620285034
323	0,315737724304199	323	1,92011475563049
324	0,277285575866699	324	1,9220495223999
325	0,248346328735352	325	1,92391991615295
326	0,23029088973999	326	1,92588686943054
327	0,221143960952759	327	1,92768096923828
328	0,219403505325317	328	1,92954182624817
329	0,226644277572632	329	1,93150520324707
330	0,241504907608032	330	1,93346261978149
331	0,259954929351807	331	1,93513035774231
332	0,280431509017944	332	1,93688750267029
333	0,302057266235352	333	1,9391942024231
334	0,323718786239624	334	1,94135546684265
335	0,34372091293335	335	1,94325566291809
336	0,363446474075317	336	1,94528102874756
337	0,382488965988159	337	1,94760203361511
338	0,39892315864563	338	1,94977879524231
339	0,414857864379883	339	1,95162415504456
340	0,430905818939209	340	1,9534957408905
341	0,446056127548218	341	1,95560693740845
342	0,461245775222778	342	1,9575572013855
343	0,477344989776611	343	1,95934176445007
344	0,496164560317993	344	1,96125984191895
345	0,514644384384155	345	1,96315407752991
346	0,532920360565186	346	1,96480393409729
347	0,552157163619995	347	1,96668386459351
348	0,569047927856445	348	1,96876525878906
349	0,586540699005127	349	1,97048783302307
350	0,604487657546997	350	1,97245597839355
351	0,622864961624146	351	1,97468876838684
352	0,639855861663818	352	1,9768762588501
353	0,656362771987915	353	1,97883009910583
354	0,675994157791138	354	1,98068499565125
355	0,693981647491455	355	1,98278665542603
356	0,710132122039795	356	1,98476076126099
357	0,728423595428467	357	1,98659420013428
358	0,744789838790894	358	1,98829174041748
359	0,760518312454224	359	1,98985695838928
360	0,780708789825439	360	1,99142217636108
361	0,798696279525757	361	1,99298501014709
362	0,813440084457397	362	1,99498295783997
363	0,833486318588257	363	1,99724316596985
364	0,856330394744873	364	1,99900984764099
365	0,877901315689087	365	2,0006275177002
366	0,899080038070679	366	2,00267791748047
367	0,924913883209229	367	2,00476050376892
368	0,95150351524353	368	2,00660705566406
369	0,97272515296936	369	2,00843930244446
370	0,999261140823364	370	2,01046228408813
371	1,03102684020996	371	2,01262474060059
372	1,06128096580505	372	2,01446413993835
373	1,09625220298767	373	2,01615452766418
374	1,13415598869324	374	2,01824903488159
375	1,17383360862732	375	2,02021956443787
376	1,21676325798035	376	2,02241659164429
377	1,26573085784912	377	2,02477216720581
378	1,3218092918396	378	2,02662467956543
379	1,38490438461304	379	2,02853083610535
380	1,45973324775696	380	2,03059196472168
381	1,53566002845764	381	2,03274011611938
382	1,60440444946289	382	2,03477740287781
383	1,66367173194885	383	2,03662633895874
384	1,71699285507202	384	2,03848958015442
385	1,75851821899414	385	2,04033374786377
386	1,78483366966248	386	2,04226970672607
387	1,78173661231995	387	2,04447507858276
388	1,75794959068298	388	2,04686164855957
389	1,72195792198181	389	2,04903841018677
390	1,66001319885254	390	2,05091595649719
391	1,58039927482605	391	2,0527970790863
392	1,49878621101379	392	2,0546019077301
393	1,41803622245789	393	2,05644607543945
394	1,32793307304382	394	2,05875396728516
395	1,25022768974304	395	2,06114888191223
396	1,18414521217346	396	2,06278085708618
397	1,11093401908875	397	2,06468343734741
398	1,04139566421509	398	2,06687688827515
399	0,979206562042236	399	2,06877946853638
400	0,919816493988037	400	2,07082867622375
401	0,859261751174927	401	2,07313895225525
402	0,803369283676147	402	2,07506537437439
403	0,753320455551147	403	2,07656383514404
404	0,702263116836548	404	2,07877993583679
405	0,659451484680176	405	2,08092570304871
406	0,621343851089478	406	2,08248853683472
407	0,58444619178772	407	2,08446145057678
408	0,555262565612793	408	2,08670973777771
409	0,525655746459961	409	2,08870768547058
410	0,497379302978516	410	2,09045052528381
411	0,476993322372437	411	2,09204912185669
412	0,45865535736084	412	2,09410667419434
413	0,443661212921143	413	2,09618449211121
414	0,433552265167236	414	2,09794998168945
415	0,426479578018188	415	2,10012912750244
416	0,424339771270752	416	2,10220813751221
417	0,428282022476196	417	2,10391521453857
418	0,439423322677612	418	2,10566759109497
419	0,451322793960571	419	2,10740447044373
420	0,463002920150757	420	2,1093475818634
421	0,478276014328003	421	2,11148381233215
422	0,490947961807251	422	2,11369156837463
423	0,502160787582397	423	2,11580395698547
424	0,516563653945923	424	2,11759209632874
425	0,532432794570923	425	2,11922168731689
426	0,544818639755249	426	2,12073922157288
427	0,5591881275177	427	2,12282776832581
428	0,576152801513672	428	2,12537527084351
429	0,590227842330933	429	2,12795972824097
430	0,60513973236084	430	2,1301257610321
431	0,621342658996582	431	2,13159084320068
432	0,636341571807861	432	2,13328838348389
433	0,650248527526855	433	2,13510990142822
434	0,664380788803101	434	2,13701128959656
435	0,680108070373535	435	2,13893055915833
436	0,69455623626709	436	2,14074015617371
437	0,708928108215332	437	2,14267134666443
438	0,725811719894409	438	2,144775390625
439	0,740872621536255	439	2,14709997177124
440	0,754120349884033	440	2,14905858039856
441	0,769330263137817	441	2,15087056159973
442	0,784968137741089	442	2,15296864509583
443	0,797743797302246	443	2,15511083602905
444	0,811532735824585	444	2,15711236000061
445	0,828113555908203	445	2,15906500816345
446	0,844768285751343	446	2,16132998466492
447	0,861390829086304	447	2,16350197792053
448	0,882296562194824	448	2,16503143310547
449	0,90551495552063	449	2,16647148132324
450	0,926351547241211	450	2,16822147369385
451	0,949482917785645	451	2,17002511024475
452	0,974379777908325	452	2,17197895050049
453	0,999141931533813	453	2,1741259098053
454	1,02883577346802	454	2,17612028121948
455	1,06138825416565	455	2,17784643173218
456	1,09459757804871	456	2,17980980873108
457	1,13321781158447	457	2,18178868293762
458	1,17916703224182	458	2,18353033065796
459	1,23266339302063	459	2,18551158905029
460	1,29418730735779	460	2,18765497207642
461	1,36123776435852	461	2,18950152397156
462	1,42988801002502	462	2,19126582145691
463	1,49592995643616	463	2,19339966773987
464	1,55856490135193	464	2,19539284706116
465	1,61572456359863	465	2,19721913337708
466	1,66319370269775	466	2,1994423866272
467	1,69840812683105	467	2,20161914825439
468	1,72063827514648	468	2,20363616943359
469	1,73067092895508	469	2,20562219619751
470	1,72197222709656	470	2,20745801925659
471	1,69699311256409	471	2,20919847488403
472	1,66110277175903	472	2,21118688583374
473	1,61383867263794	473	2,2133731842041
474	1,54548287391663	474	2,21566557884216
475	1,46931171417236	475	2,21779584884644
476	1,38933539390564	476	2,21966505050659
477	1,30629062652588	477	2,22196102142334
478	1,23391032218933	478	2,22414493560791
479	1,16202354431152	479	2,22584009170532
480	1,09441995620728	480	2,22770571708679
481	1,0292375087738	481	2,22983002662659
482	0,97395658493042	482	2,23167181015015
483	0,928013324737549	483	2,23331093788147
484	0,883018970489502	484	2,23505735397339
485	0,839227437973022	485	2,23710298538208
486	0,798841714859009	486	2,23921060562134
487	0,771799087524414	487	2,24116683006287
488	0,749300718307495	488	2,2431755065918
489	0,723283290863037	489	2,24496364593506
490	0,696232318878174	490	2,24666714668274
491	0,671042203903198	491	2,24858641624451
492	0,647066831588745	492	2,25057244300842
493	0,621907711029053	493	2,25253582000732
494	0,597965717315674	494	2,25445747375488
495	0,575565099716187	495	2,25639939308167
496	0,560756921768188	496	2,25835919380188
497	0,550774335861206	497	2,26020812988281
498	0,543475151062012	498	2,26205110549927
499	0,541172027587891	499	2,26386904716492
500	0,542188882827759	500	2,26570725440979
501	0,54857611656189	501	2,26747512817383
502	0,556317567825317	502	2,26923227310181
503	0,563702583312988	503	2,27116584777832
504	0,569697618484497	504	2,2730541229248
505	0,578749179840088	505	2,27476716041565
506	0,590524673461914	506	2,2763466835022
507	0,601116418838501	507	2,27803707122803
508	0,611827373504639	508	2,27978467941284
509	0,622906684875488	509	2,28157877922058
510	0,635372400283813	510	2,28344917297363
511	0,647823810577393	511	2,28513717651367
512	0,660355091094971	512	2,28693246841431
513	0,670827627182007	513	2,28876113891602
514	0,682777166366577	514	2,29054570198059
515	0,697342157363892	515	2,29238152503967
516	0,709687471389771	516	2,2943115234375
517	0,722417831420898	517	2,29652404785156
518	0,736793279647827	518	2,29884505271912
519	0,75177788734436	519	2,30091571807861
520	0,768334865570068	520	2,30254411697388
521	0,785453319549561	521	2,30420112609863
522	0,799307823181152	522	2,30605840682983
523	0,818066596984863	523	2,30808615684509
524	0,842124223709106	524	2,3101019859314
525	0,863724946975708	525	2,31199502944946
526	0,886662006378174	526	2,31374502182007
527	0,915117263793945	527	2,31568098068237
528	0,944972038269043	528	2,3177433013916
529	0,973360538482666	529	2,31969475746155
530	1,00451111793518	530	2,32163071632385
531	1,03795647621155	531	2,32347965240479
532	1,0714852809906	532	2,32539296150208
533	1,10468506813049	533	2,32734203338623
534	1,14354252815247	534	2,32946991920471
535	1,18947625160217	535	2,33162403106689
536	1,23830437660217	536	2,33354449272156
537	1,29756689071655	537	2,33551263809204
538	1,36517763137817	538	2,33756184577942
539	1,43004298210144	539	2,33951449394226
540	1,48996233940125	540	2,34146118164063
541	1,54800295829773	541	2,34334349632263
542	1,59739017486572	542	2,34526038169861
543	1,6391921043396	543	2,34732866287231
544	1,67095065116882	544	2,3493230342865
545	1,69158339500427	545	2,35129952430725
546	1,70210361480713	546	2,35317468643188
547	1,69729828834534	547	2,35515356063843
548	1,69460296630859	548	2,35720872879028
549	1,68492674827576	549	2,35905289649963
550	1,65350556373596	550	2,36098885536194
551	1,60689353942871	551	2,36285924911499
552	1,54634356498718	552	2,36460328102112
553	1,48419499397278	553	2,36655235290527
554	1,42536520957947	554	2,36847162246704
555	1,35557770729065	555	2,37021684646606
556	1,27906680107117	556	2,3720645904541
557	1,20398998260498	557	2,37408518791199
558	1,13346695899963	558	2,37602591514587
559	1,07722997665405	559	2,37788438796997
560	1,02549314498901	560	2,37970352172852
561	0,973266363143921	561	2,38142013549805
562	0,935217142105103	562	2,38323450088501
563	0,901006460189819	563	2,38515973091125
564	0,86551308631897	564	2,38710403442383
565	0,833960771560669	565	2,38898396492004
566	0,804139375686646	566	2,39099144935608
567	0,776299238204956	567	2,39313960075378
568	0,747158527374268	568	2,39517688751221
569	0,719927549362183	569	2,39708423614502
570	0,693413019180298	570	2,39885568618774
571	0,667679309844971	571	2,40064978599548
572	0,644292831420898	572	2,40254402160645
573	0,625696182250977	573	2,40442037582397
574	0,614973306655884	574	2,40635395050049
575	0,606464147567749	575	2,40829706192017
576	0,602002143859863	576	2,41026401519775
577	0,604938268661499	577	2,41224646568298
578	0,610467195510864	578	2,41422772407532
579	0,618010759353638	579	2,41612911224365
580	0,629734992980957	580	2,41802215576172
581	0,642843246459961	581	2,41995573043823
582	0,654956102371216	582	2,42190361022949
583	0,667943954467773	583	2,42390751838684
584	0,681151151657104	584	2,42588043212891
585	0,691654682159424	585	2,42772340774536
586	0,702989101409912	586	2,42974758148193
587	0,71819543838501	587	2,43187427520752
588	0,733890533447266	588	2,43384957313538
589	0,748182535171509	589	2,43587136268616
590	0,763601064682007	590	2,43784785270691
591	0,781738758087158	591	2,43974208831787
592	0,799039602279663	592	2,44166970252991
593	0,816621780395508	593	2,44360685348511
594	0,837274789810181	594	2,44557023048401
595	0,854891538619995	595	2,44762182235718
596	0,874423980712891	596	2,44960188865662
597	0,897722244262695	597	2,45148777961731
598	0,919708013534546	598	2,45346784591675
599	0,942331552505493	599	2,4553918838501
600	0,966242551803589	600	2,4572741985321
601	0,99318265914917	601	2,45922684669495
602	1,0193395614624	602	2,46122002601624
603	1,04351282119751	603	2,4631941318512
604	1,07327222824097	604	2,4650514125824
605	1,10568761825562	605	2,4670422077179
606	1,13526582717896	606	2,46907711029053
607	1,1746883392334	607	2,47088193893433
608	1,22292041778564	608	2,47262835502625
609	1,27047300338745	609	2,47441053390503
610	1,32847309112549	610	2,47617363929749
611	1,3948130607605	611	2,47809171676636
612	1,45893096923828	612	2,48000860214233
613	1,52379870414734	613	2,48182058334351
614	1,58798813819885	614	2,48363018035889
615	1,64600372314453	615	2,48557686805725
616	1,6954779624939	616	2,48768210411072
617	1,73365831375122	617	2,48964548110962
618	1,75787091255188	618	2,49149203300476
619	1,7770779132843	619	2,49340772628784
620	1,78802967071533	620	2,49535083770752
621	1,78543925285339	621	2,49732732772827
622	1,76116943359375	622	2,49940872192383
623	1,72863841056824	623	2,50148057937622
624	1,68456673622131	624	2,50350952148438
625	1,6120183467865	625	2,50555992126465
626	1,53738141059875	626	2,50755190849304
627	1,45381689071655	627	2,50940561294556
628	1,36703848838806	628	2,51127481460571
629	1,28635406494141	629	2,51321077346802
630	1,20899796485901	630	2,51516819000244
631	1,14431142807007	631	2,5170636177063
632	1,08658790588379	632	2,51893877983093
633	1,03330492973328	633	2,52087235450745
634	0,982667207717896	634	2,52277612686157
635	0,940157175064087	635	2,52477884292603
636	0,901750326156616	636	2,52681970596313
637	0,86129903793335	637	2,52872705459595
638	0,821290016174316	638	2,53060460090637
639	0,779533386230469	639	2,53257751464844
640	0,745214223861694	640	2,53469824790955
641	0,718859434127808	641	2,53682374954224
642	0,692259073257446	642	2,53884792327881
643	0,670838356018066	643	2,54093527793884
644	0,658074617385864	644	2,54307150840759
645	0,649962425231934	645	2,5450873374939
646	0,646431446075439	646	2,54697442054749
647	0,648138523101807	647	2,5489342212677
648	0,652278661727905	648	2,55107522010803
649	0,660300254821777	649	2,55301713943481
650	0,671817064285278	650	2,55497813224792
651	0,683791637420654	651	2,55693078041077
652	0,695163011550903	652	2,55873918533325
653	0,708727836608887	653	2,56074070930481
654	0,723379850387573	654	2,56273031234741
655	0,737104415893555	655	2,56459355354309
656	0,750172138214111	656	2,56638884544373
657	0,765810012817383	657	2,56821036338806
658	0,782198905944824	658	2,57012844085693
659	0,79641580581665	659	2,57209300994873
660	0,813890695571899	660	2,57394433021545
661	0,832445621490479	661	2,57583618164063
662	0,851447582244873	662	2,57786512374878
663	0,871274471282959	663	2,57985711097717
664	0,891774892807007	664	2,58190393447876
665	0,910826921463013	665	2,58386015892029
666	0,929880142211914	666	2,58571267127991
667	0,952497720718384	667	2,58746027946472
668	0,977531671524048	668	2,58930444717407
669	1,00538969039917	669	2,59135961532593
670	1,03324294090271	670	2,59340405464172
671	1,06238961219788	671	2,59541273117065
672	1,09566330909729	672	2,59739637374878
673	1,13219499588013	673	2,59941339492798
674	1,17187023162842	674	2,60142922401428
675	1,21661186218262	675	2,60360479354858
676	1,26602292060852	676	2,60594606399536
677	1,32755279541016	677	2,60817170143127
678	1,39952898025513	678	2,61024713516235
679	1,47508502006531	679	2,6120138168335
680	1,55842065811157	680	2,61355996131897
681	1,64265155792236	681	2,61528611183167
682	1,7215096950531	682	2,61727690696716
683	1,79025530815125	683	2,61940479278564
684	1,84946537017822	684	2,62115597724915
685	1,89658284187317	685	2,62267470359802
686	1,91864252090454	686	2,62434959411621
687	1,91947937011719	687	2,62632489204407
688	1,91726207733154	688	2,62872576713562
689	1,89510941505432	689	2,63097286224365
